alcaldia,age_range,gender,income_band,count
Cuauhtémoc,18-29,masculino,A/B,
Cuauhtémoc,18-29,femenino,A/B,
Cuauhtémoc,18-29,masculino,C+,
Cuauhtémoc,18-29,femenino,C+,
Cuauhtémoc,18-29,masculino,C,
Cuauhtémoc,18-29,femenino,C,
Cuauhtémoc,18-29,masculino,C-,
Cuauhtémoc,18-29,femenino,C-,
Cuauhtémoc,18-29,masculino,D+,
Cuauhtémoc,18-29,femenino,D+,
Cuauhtémoc,18-29,masculino,D/E,
Cuauhtémoc,18-29,femenino,D/E,
Cuauhtémoc,30-44,masculino,A/B,
Cuauhtémoc,30-44,femenino,A/B,
Cuauhtémoc,30-44,masculino,C+,
Cuauhtémoc,30-44,femenino,C+,
Cuauhtémoc,30-44,masculino,C,
Cuauhtémoc,30-44,femenino,C,
Cuauhtémoc,30-44,masculino,C-,
Cuauhtémoc,30-44,femenino,C-,
Cuauhtémoc,30-44,masculino,D+,
Cuauhtémoc,30-44,femenino,D+,
Cuauhtémoc,30-44,masculino,D/E,
Cuauhtémoc,30-44,femenino,D/E,
Cuauhtémoc,45-59,masculino,A/B,
Cuauhtémoc,45-59,femenino,A/B,
Cuauhtémoc,45-59,masculino,C+,
Cuauhtémoc,45-59,femenino,C+,
Cuauhtémoc,45-59,masculino,C,
Cuauhtémoc,45-59,femenino,C,
Cuauhtémoc,45-59,masculino,C-,
Cuauhtémoc,45-59,femenino,C-,
Cuauhtémoc,45-59,masculino,D+,
Cuauhtémoc,45-59,femenino,D+,
Cuauhtémoc,45-59,masculino,D/E,
Cuauhtémoc,45-59,femenino,D/E,
Cuauhtémoc,60+,masculino,A/B,
Cuauhtémoc,60+,femenino,A/B,
Cuauhtémoc,60+,masculino,C+,
Cuauhtémoc,60+,femenino,C+,
Cuauhtémoc,60+,masculino,C,
Cuauhtémoc,60+,femenino,C,
Cuauhtémoc,60+,masculino,C-,
Cuauhtémoc,60+,femenino,C-,
Cuauhtémoc,60+,masculino,D+,
Cuauhtémoc,60+,femenino,D+,
Cuauhtémoc,60+,masculino,D/E,
Cuauhtémoc,60+,femenino,D/E,
Miguel Hidalgo,18-29,masculino,A/B,
Miguel Hidalgo,18-29,femenino,A/B,
Miguel Hidalgo,18-29,masculino,C+,
Miguel Hidalgo,18-29,femenino,C+,
Miguel Hidalgo,18-29,masculino,C,
Miguel Hidalgo,18-29,femenino,C,
Miguel Hidalgo,18-29,masculino,C-,
Miguel Hidalgo,18-29,femenino,C-,
Miguel Hidalgo,18-29,masculino,D+,
Miguel Hidalgo,18-29,femenino,D+,
Miguel Hidalgo,18-29,masculino,D/E,
Miguel Hidalgo,18-29,femenino,D/E,
Miguel Hidalgo,30-44,masculino,A/B,
Miguel Hidalgo,30-44,femenino,A/B,
Miguel Hidalgo,30-44,masculino,C+,
Miguel Hidalgo,30-44,femenino,C+,
Miguel Hidalgo,30-44,masculino,C,
Miguel Hidalgo,30-44,femenino,C,
Miguel Hidalgo,30-44,masculino,C-,
Miguel Hidalgo,30-44,femenino,C-,
Miguel Hidalgo,30-44,masculino,D+,
Miguel Hidalgo,30-44,femenino,D+,
Miguel Hidalgo,30-44,masculino,D/E,
Miguel Hidalgo,30-44,femenino,D/E,
Miguel Hidalgo,45-59,masculino,A/B,
Miguel Hidalgo,45-59,femenino,A/B,
Miguel Hidalgo,45-59,masculino,C+,
Miguel Hidalgo,45-59,femenino,C+,
Miguel Hidalgo,45-59,masculino,C,
Miguel Hidalgo,45-59,femenino,C,
Miguel Hidalgo,45-59,masculino,C-,
Miguel Hidalgo,45-59,femenino,C-,
Miguel Hidalgo,45-59,masculino,D+,
Miguel Hidalgo,45-59,femenino,D+,
Miguel Hidalgo,45-59,masculino,D/E,
Miguel Hidalgo,45-59,femenino,D/E,
Miguel Hidalgo,60+,masculino,A/B,
Miguel Hidalgo,60+,femenino,A/B,
Miguel Hidalgo,60+,masculino,C+,
Miguel Hidalgo,60+,femenino,C+,
Miguel Hidalgo,60+,masculino,C,
Miguel Hidalgo,60+,femenino,C,
Miguel Hidalgo,60+,masculino,C-,
Miguel Hidalgo,60+,femenino,C-,
Miguel Hidalgo,60+,masculino,D+,
Miguel Hidalgo,60+,femenino,D+,
Miguel Hidalgo,60+,masculino,D/E,
Miguel Hidalgo,60+,femenino,D/E,
